AlegreyaSC-ExtraBold,"https://github.com/google/fonts/blob/master/ofl/alegreyasc/AlegreyaSC-ExtraBold.ttf?raw=true",OFL
AlegreyaSC-ExtraBoldItalic,"https://github.com/google/fonts/blob/master/ofl/alegreyasc/AlegreyaSC-ExtraBoldItalic.ttf?raw=true",OFL
AlegreyaSC-Italic,"https://github.com/google/fonts/blob/master/ofl/alegreyasc/AlegreyaSC-Italic.ttf?raw=true",OFL
AlegreyaSC-Medium,"https://github.com/google/fonts/blob/master/ofl/alegreyasc/AlegreyaSC-Medium.ttf?raw=true",OFL
AlegreyaSC-MediumItalic,"https://github.com/google/fonts/blob/master/ofl/alegreyasc/AlegreyaSC-MediumItalic.ttf?raw=true",OFL
AlegreyaSC-Regular,"https://github.com/google/fonts/blob/master/ofl/alegreyasc/AlegreyaSC-Regular.ttf?raw=true",OFL
AlegreyaSans-Black,"https://github.com/google/fonts/blob/master/ofl/alegreyasans/AlegreyaSans-Black.ttf?raw=true",OFL
AlegreyaSans-BlackItalic,"https://github.com/google/fonts/blob/master/ofl/alegreyasans/AlegreyaSans-BlackItalic.ttf?raw=true",OFL
AlegreyaSans-Bold,"https://github.com/google/fonts/blob/master/ofl/alegreyasans/AlegreyaSans-Bold.ttf?raw=true",OFL
AlegreyaSans-BoldItalic,"https://github.com/google/fonts/blob/master/ofl/alegreyasans/AlegreyaSans-BoldItalic.ttf?raw=true",OFL
AlegreyaSans-ExtraBold,"https://github.com/google/fonts/blob/master/ofl/alegreyasans/AlegreyaSans-ExtraBold.ttf?raw=true",OFL
AlegreyaSans-ExtraBoldItalic,"https://github.com/google/fonts/blob/master/ofl/alegreyasans/AlegreyaSans-ExtraBoldItalic.ttf?raw=true",OFL
AlegreyaSans-Italic,"https://github.com/google/fonts/blob/master/ofl/alegreyasans/AlegreyaSans-Italic.ttf?raw=true",OFL
AlegreyaSans-Light,"https://github.com/google/fonts/blob/master/ofl/alegreyasans/AlegreyaSans-Light.ttf?raw=true",OFL
AlegreyaSans-LightItalic,"https://github.com/google/fonts/blob/master/ofl/alegreyasans/AlegreyaSans-LightItalic.ttf?raw=true",OFL
AlegreyaSans-Medium,"https://github.com/google/fonts/blob/master/ofl/alegreyasans/AlegreyaSans-Medium.ttf?raw=true",OFL
AlegreyaSans-MediumItalic,"https://github.com/google/fonts/blob/master/ofl/alegreyasans/AlegreyaSans-MediumItalic.ttf?raw=true",OFL
AlegreyaSans-Regular,"https://github.com/google/fonts/blob/master/ofl/alegreyasans/AlegreyaSans-Regular.ttf?raw=true",OFL
AlegreyaSans-Thin,"https://github.com/google/fonts/blob/master/ofl/alegreyasans/AlegreyaSans-Thin.ttf?raw=true",OFL
AlegreyaSans-ThinItalic,"https://github.com/google/fonts/blob/master/ofl/alegreyasans/AlegreyaSans-ThinItalic.ttf?raw=true",OFL
AlegreyaSansSC-Black,"https://github.com/google/fonts/blob/master/ofl/alegreyasanssc/AlegreyaSansSC-Black.ttf?raw=true",OFL
AlegreyaSansSC-BlackItalic,"https://github.com/google/fonts/blob/master/ofl/alegreyasanssc/AlegreyaSansSC-BlackItalic.ttf?raw=true",OFL
AlegreyaSansSC-Bold,"https://github.com/google/fonts/blob/master/ofl/alegreyasanssc/AlegreyaSansSC-Bold.ttf?raw=true",OFL
AlegreyaSansSC-BoldItalic,"https://github.com/google/fonts/blob/master/ofl/alegreyasanssc/AlegreyaSansSC-BoldItalic.ttf?raw=true",OFL
AlegreyaSansSC-ExtraBold,"https://github.com/google/fonts/blob/master/ofl/alegreyasanssc/AlegreyaSansSC-ExtraBold.ttf?raw=true",OFL
AlegreyaSansSC-ExtraBoldItalic,"https://github.com/google/fonts/blob/master/ofl/alegreyasanssc/AlegreyaSansSC-ExtraBoldItalic.ttf?raw=true",OFL
AlegreyaSansSC-Italic,"https://github.com/google/fonts/blob/master/ofl/alegreyasanssc/AlegreyaSansSC-Italic.ttf?raw=true",OFL
